source,target,interactions,movie
DARTH VADER,JERJERROD,1,Episode 6
R2-D2,C-3PO,20,Episode 6
R2-D2,CHEWBACCA,14,Episode 6
C-3PO,CHEWBACCA,7,Episode 6
R2-D2,BIB FORTUNA,1,Episode 6
C-3PO,BIB FORTUNA,2,Episode 6
R2-D2,LUKE,10,Episode 6
R2-D2,JABBA,1,Episode 6
LUKE,C-3PO,9,Episode 6
LUKE,JABBA,2,Episode 6
C-3PO,JABBA,3,Episode 6
BOUSHH,C-3PO,2,Episode 6
BOUSHH,JABBA,1,Episode 6
BOUSHH,CHEWBACCA,1,Episode 6
JABBA,CHEWBACCA,1,Episode 6
HAN,BOUSHH,1,Episode 6
HAN,LEIA,18,Episode 6
HAN,C-3PO,18,Episode 6
BOUSHH,LEIA,1,Episode 6
LEIA,C-3PO,15,Episode 6
HAN,CHEWBACCA,27,Episode 6
LUKE,BIB FORTUNA,1,Episode 6
JABBA,BIB FORTUNA,1,Episode 6
HAN,LUKE,13,Episode 6
LEIA,CHEWBACCA,15,Episode 6
LEIA,LUKE,8,Episode 6
CHEWBACCA,LUKE,8,Episode 6
CHEWBACCA,C-3PO,11,Episode 6
LUKE,CHEWBACCA,6,Episode 6
LUKE,LANDO,4,Episode 6
LANDO,CHEWBACCA,5,Episode 6
HAN,LANDO,5,Episode 6
R2-D2,LEIA,9,Episode 6
HAN,R2-D2,13,Episode 6
R2-D2,LANDO,3,Episode 6
LEIA,LANDO,2,Episode 6
CHEWBACCA,LANDO,2,Episode 6
DARTH VADER,EMPEROR,5,Episode 6
YODA,LUKE,1,Episode 6
R2-D2,OBI-WAN,1,Episode 6
OBI-WAN,LUKE,1,Episode 6
HAN,ADMIRAL ACKBAR,1,Episode 6
HAN,MON MOTHMA,1,Episode 6
ADMIRAL ACKBAR,R2-D2,1,Episode 6
ADMIRAL ACKBAR,LEIA,1,Episode 6
ADMIRAL ACKBAR,CHEWBACCA,1,Episode 6
ADMIRAL ACKBAR,C-3PO,1,Episode 6
ADMIRAL ACKBAR,MON MOTHMA,1,Episode 6
ADMIRAL ACKBAR,LUKE,1,Episode 6
ADMIRAL ACKBAR,LANDO,5,Episode 6
R2-D2,MON MOTHMA,1,Episode 6
LEIA,MON MOTHMA,1,Episode 6
CHEWBACCA,MON MOTHMA,1,Episode 6
C-3PO,MON MOTHMA,1,Episode 6
C-3PO,LUKE,1,Episode 6
C-3PO,LANDO,1,Episode 6
MON MOTHMA,LUKE,1,Episode 6
MON MOTHMA,LANDO,1,Episode 6
DARTH VADER,PIETT,1,Episode 6
DARTH VADER,LUKE,5,Episode 6
EMPEROR,LUKE,3,Episode 6
WEDGE,LANDO,6,Episode 6
WEDGE,ADMIRAL ACKBAR,1,Episode 6
DARTH VADER,ANAKIN,1,Episode 6
LUKE,ANAKIN,1,Episode 6
