source,target,interactions,movie
POE,LOR SAN TEKKA,3,Episode 7
POE,CAPTAIN PHASMA,1,Episode 7
POE,KYLO REN,2,Episode 7
CAPTAIN PHASMA,KYLO REN,1,Episode 7
CAPTAIN PHASMA,LOR SAN TEKKA,1,Episode 7
KYLO REN,LOR SAN TEKKA,1,Episode 7
CAPTAIN PHASMA,FINN,3,Episode 7
GENERAL HUX,KYLO REN,5,Episode 7
UNKAR PLUTT,REY,2,Episode 7
POE,FINN,10,Episode 7
GENERAL HUX,LIEUTENANT MITAKA,1,Episode 7
KYLO REN,LIEUTENANT MITAKA,2,Episode 7
CAPTAIN PHASMA,GENERAL HUX,1,Episode 7
FINN,REY,26,Episode 7
HAN,FINN,23,Episode 7
HAN,REY,17,Episode 7
HAN,CHEWBACCA,31,Episode 7
FINN,CHEWBACCA,21,Episode 7
REY,CHEWBACCA,12,Episode 7
HAN,BALA-TIK,2,Episode 7
BALA-TIK,CHEWBACCA,1,Episode 7
REY,FINN,3,Episode 7
REY,BALA-TIK,1,Episode 7
FINN,BALA-TIK,1,Episode 7
CHEWBACCA,BALA-TIK,1,Episode 7
GENERAL HUX,SNOKE,2,Episode 7
SNOKE,KYLO REN,2,Episode 7
HAN,MAZ,4,Episode 7
MAZ,CHEWBACCA,3,Episode 7
FINN,MAZ,2,Episode 7
REY,MAZ,2,Episode 7
BB-8,REY,1,Episode 7
POE,HAN,1,Episode 7
POE,CHEWBACCA,1,Episode 7
HAN,LEIA,5,Episode 7
HAN,C-3PO,3,Episode 7
LEIA,C-3PO,5,Episode 7
LEIA,CHEWBACCA,3,Episode 7
C-3PO,CHEWBACCA,2,Episode 7
POE,LEIA,2,Episode 7
FINN,LEIA,3,Episode 7
REY,KYLO REN,4,Episode 7
SNOKE,GENERAL HUX,1,Episode 7
HAN,SNAP,1,Episode 7
HAN,ADMIRAL ACKBAR,1,Episode 7
HAN,POE,1,Episode 7
HAN,ADMIRAL STATURA,1,Episode 7
SNAP,ADMIRAL ACKBAR,1,Episode 7
SNAP,FINN,1,Episode 7
SNAP,LEIA,1,Episode 7
SNAP,POE,1,Episode 7
SNAP,C-3PO,1,Episode 7
SNAP,ADMIRAL STATURA,1,Episode 7
ADMIRAL ACKBAR,FINN,1,Episode 7
ADMIRAL ACKBAR,LEIA,1,Episode 7
ADMIRAL ACKBAR,POE,1,Episode 7
ADMIRAL ACKBAR,C-3PO,1,Episode 7
ADMIRAL ACKBAR,ADMIRAL STATURA,1,Episode 7
FINN,POE,1,Episode 7
FINN,C-3PO,1,Episode 7
FINN,ADMIRAL STATURA,1,Episode 7
LEIA,POE,1,Episode 7
LEIA,ADMIRAL STATURA,2,Episode 7
POE,C-3PO,2,Episode 7
POE,ADMIRAL STATURA,1,Episode 7
C-3PO,ADMIRAL STATURA,2,Episode 7
HAN,CAPTAIN PHASMA,2,Episode 7
CAPTAIN PHASMA,CHEWBACCA,1,Episode 7
GENERAL HUX,COLONEL DATOO,1,Episode 7
POE,ELLO ASTY,2,Episode 7
SNAP,JESS,1,Episode 7
HAN,KYLO REN,3,Episode 7
KYLO REN,CHEWBACCA,2,Episode 7
FINN,KYLO REN,2,Episode 7
JESS,ELLO ASTY,1,Episode 7
JESS,POE,1,Episode 7
JESS,YOLO ZIFF,1,Episode 7
JESS,NIV LEK,2,Episode 7
ELLO ASTY,POE,1,Episode 7
ELLO ASTY,YOLO ZIFF,1,Episode 7
ELLO ASTY,NIV LEK,2,Episode 7
POE,YOLO ZIFF,1,Episode 7
POE,NIV LEK,2,Episode 7
YOLO ZIFF,NIV LEK,1,Episode 7
POE,JESS,1,Episode 7
ELLO ASTY,JESS,1,Episode 7
POE,SNAP,1,Episode 7
